City,State,Country,Occurred,Lon,Lat,Shape,Summary,Media,Explanation
Kerens,TX,USA,1/17/20083/20/1979,0.0,0.0,FormationCircle,"UFO spotted at Possum Kingdom Lake,TXwhile facing E/NE saw a red ball just at the horizon. the object then streaked across the sky leaving a green laser looking tail that w",0,0
Kerhonkson,NY,USA,4/25/19526/26/20054/1/1933,0.0,0.0,FlashFormationChanging,"From the northern skies of the Catskills a bright light started moving thirds us as we sat on our porch in Kerhonkson NY. The lights arThree points of light in a triangle formation. ((NUFORC Note: Possible NOSS satellites. PD))2 unidentifiable flying objects passsed over our home in Kerhonkson , NY",0,0
Kerman,CA,USA,8/15/20038/10/19964/17/2021,0.0,0.0,FlashLightFormation,"It looked very much like a ball of fire. At first I thought it was a child's ball, however a child's ball would not be flying that higI was walking back to my room witch was separete from the house. I stoped walking to look up at the night sky and saw star, well what5 red lights near Fresno, CA.",0,0
Kermit,TX,USA,4/6/19764/6/2012,0.0,0.0,TriangleTriangle,triangles over Kermit TXa triagle shape ship,0,0
Kern,TX,USA,11/27/2004,0.0,0.0,Formation,Witnesses to a cluster of lights passing overhead very quickly.,0,0
Kern County,CA,USA,8/16/2003,0.0,0.0,Teardrop,"two neon green lights fly to the heavens, and no pics to prove it......",0,0
Kern County (near Int5+hwy166),CA,USA,2/15/1994,0.0,0.0,Disk,"30ft dia ,slow rotating disc, on top of seperate faster rotating triangle- Seen at close range in California.",0,0
Kern river,CA,USA,8/31/2002,0.0,0.0,Cigar,Upon developing film from labor day weekend I had noticed something on the photo in which I had not noticed when taking the picture of,0,0
Kernersville,NC,USA,2/15/20076/9/20069/23/20227/21/20084/10/19964/10/20107/15/19974/8/19713/30/20099/11/20054/16/20299/15/19774/3/19884/10/19474/24/1945,0.0,0.0,CylinderSphereCylinderChangingFireballLightTriangleLightRectangleFlashLightSphereLightCigarFireball,"My wife and I were traveling on I-40 the day after valentines when we noticed what we thought was an airplane moving so slowly that itOne main cbject and seven smaller objects that came out of the main object.We witnessed a large craft hovering in the distance.. pitched forward and stationary until it vanishedCylinder object morphs to Sphere shape with Amber colored light over Kernersville, NCTwo flickering fireballs moved across the sky, changing speed and direction.Light moved across sky no sound made very hard turns and moved side to side way to fast to be a plane it moved like a balloon that wasThree points of light in triangle alignment.3 stationary orange lights in a triangle just above horizon.Daytime Object spotted on outskirts of Kernersville, North Carolinabright flash heading southeast about 10 degrees left below a half moon, towards Greensboro,very possibly a meteorite,but very definetlyTwo very silent and steady red lights at relatively low altitude with individual paths pass directly overhead in the night sky.My family and I saw a saucer hovering over our field. There is missing time. and I could tell of another instant when I was six but…five lights in the sky within an hour.strange the objects made NO sound at all.Orangish Red glowing lights.",0,0
Kernersville/Colfax area,NC,USA,4/10/1932,0.0,0.0,Light,This is a small light that appears in one spot each night that changes diff. colors. ((NUFORC Note: Sighting of star or planet? PD)),0,0
Kernesville,NC,USA,4/16/1947,0.0,0.0,Circle,"I live in Kernersville, NC. My friend and I saw 7 flame orange lights in the sky. They were moving very slowly.",0,0
Kernville,CA,USA,7/23/20025/25/20037/15/1994,0.0,0.0,ChevronLightFireball,Chevron Shaped vehicle with blinking red lightsI went on a campin trip to Kern River California this Memorial Weekend. I was lookin at the beautiful sky that night. There were manyBright Fire ball heading north over the mountains,0,0
Kernville (8 miles north of),CA,USA,7/17/2004,0.0,0.0,Other,"Three green glowing vertical streamers seen North East of Kernville 7/17/2004, One several hundred feet long.",0,0
Kerr County,TX,USA,6/15/2018,0.0,0.0,Other,"Ball-shaped solid object, low altitude, silent, constant speed and altitude, seemed to rotate or ""jiggle,"" glinted occasional",0,0
Kerrville,TX,USA,6/6/20235/5/19794/26/19535/5/19792/20/199810/2/20039/20/20191/10/20209/15/2005,0.0,0.0,OvalDiamondTriangleDiamondChangingCircleCircleTriangleLight,"White, Translucent object seen by husband/wife & contractor;((deleted)) walked to front of house to watch it out of sight SE 180 degreeStrange craft follows car into town, later family member see same craft.Red triangular lights and sphere witnessed by 3 people in early morning sky in Texas.Strange craft follows car into town, later family member see same craft.Long white light was stationary, then turned bright orange and moved like a comet, then became round and glowed orange while remainingfirst i saw 8 white lights in a V formation of wich i thought to be one single craft with the 8 lights on it .then they moved west towaWhite ball of light moving erratically in multiple directions and shining a rotating beam of light from its sides.One of my friends told me to come outside to look at something he was seeing in the sky. I in turn walked out and went onto telling him3white lights making a triangle, and 2 red lights to the right with 1 more wite light",0,0
Kerrywood,ID,USA,9/26/2000,0.0,0.0,Flash,"spotted flashing light ,then a glowing ball of light.",0,0
Kersey,PA,USA,7/23/2009,0.0,0.0,Light,Bright light flew across the sky slowly then disappeared 2mins from sighting. ((NUFORC Note: Satellite?? PD)),0,0
Kershaw,SC,USA,4/30/1982,0.0,0.0,Sphere,((HOAX??)) The craft was bright chrome there was not any clouds in the sky. ((anonymous report)),0,0
Kerville,TX,USA,4/15/2010,0.0,0.0,Orb,Amber blinking large orb in woods then sky at secluded ranch in texas.,0,0
Keshena,WI,USA,8/12/2007,0.0,0.0,Circle,Bright object came from space.,0,0
Keswick,VA,USA,4/22/1930,0.0,0.0,Light,"5 redish orange lights/fireballs moving slowly across the sky, at one point in ""w"" formation.",0,0
Ketchikan,AK,USA,4/20/19799/29/20184/17/19404/18/19584/16/20138/11/19991/30/20044/12/20218/5/19789/6/20204/12/2022,0.0,0.0,CircleCircleFireballOvalLightCircleLightLightRectangleLightLight,"There were 2 glowing orange balls dropping smaller white balls, they blinked then disappeared.We just got home from shopping and it's a clear night, looked up at the stars while getting out of the car and noticed a bright light mFireball like object seen above the small island city of Ketchikan, Alaska.Daylight a few miles away, very bright, oval, silent, stationary then disappeared.Light stayed over airport and slowly went left to right. Then it got really bright and dimmed and was gone.saw a bright objet in an area where there is or never has been any thingExplosive light over Alaska skiesWhite light flew across sky and then shot strait up faded to red and dissapearedAircraft carrier shaped UFOA bright light that seems to disappear when I zoomed in on the object.. Sometimes disappearing though this time it looked as if it almoSquare formation of 4 lighthouse like beacons rotating in sequence clockwise.",0,0
Ketchikan (area),AK,USA,5/25/2000,0.0,0.0,Oval,30 LIGHT OVAL SHAPE CIRCLE,0,0
Ketchum,ID,USA,4/16/19931/15/20224/15/19358/8/2020,0.0,0.0,LightCircleCircleOther,"Large bright white object in sky.circular object going straight up in sky w/ chem trail below and red lights below the object going slow 10 min then disappearedBright orange light in the sky over the Wood River Valley, Hailey IdahoMysterious object in the skies of Idaho, disappears after 2 hrs.",0,0
Ketchum,OK,USA,9/25/1973,0.0,0.0,Disk,There was more than just one witness that seen the UFO that night....As us kids (6 of us) and Mom had seen it too...I was 4 years old i,0,0
Kettering,OH,USA,4/30/19654/26/19507/13/20093/30/19414/5/19964/26/20174/20/19846/2/20204/23/19754/11/19394/16/19404/17/19984/22/19753/17/20226/18/20024/4/19384/22/19874/26/19739/17/20082/24/2001,0.0,0.0,TriangleLightDiamondOtherCircleOtherDiskLightDiskCircleCircleTriangleOtherTriangleEggDiskTriangleTriangleOtherLight,"Low flying translucent triangular craft cruises overhead and disappears in front of my eyes.8 lights in the sky.Multiple UFOs seen over East Dorothy LaneFlying object shaped like a pagoda flew over neighborhood trees and homes.((HOAX??)) A silvery medium-sized object zoomed across the sky.A craft composed of two parallel outside cylinders and made of highly reflective metal flew slowly past my home at 6000 feet.8x discs, in perfect formation, flying west to east without a sound, and a course change, heading to Wright Patterson Air Force Base.Saw what I thought was a meteor before it stopped, hovered, moved around a little bit, then disappeared.multi coloured disc landed in kettering ohioOrange/red light in skyStrange orange ball.Glowing triangles over Kettering, Ohio.Six orange lights in the northern sky, originally in a formation until moving around and fading away.Hovering craft comes out of nowhere then flies over.((HOAX??)Witnessed ""Tic Tac"" UFO for an hour, took picture with cell phone. Object was seen 3-5 miles below a/ct. ((anonymous report))aluminum-type disk with hump.I saw a 4 foot triangular craft with a 1-foot diameter bright white light in the center.. The light flashed on and off seven times.Pairs of lights. one pair vibrated and chased each other. large structure outlined by star lights moved towards me.Low Flying Quiet Object in Sky with 4 Bright White LightsOn 02/24/01 at 11:32 p.m. I saw a difuse, moving red glow in the sky while I was driving",0,0
Kettle Falls,WA,USA,4/29/200611/11/20022/22/2005,0.0,0.0,OrbFireballFireball,"Super bright ufo, northeastern Washington.N.E. WA. 3 witnessed rocket shaped UFO emmitting orange sparks.On 2/22/05 my brother witnessed two objects in the NW sky, with meteor characteristics but unusually large.",0,0
