Occurred,Lon,Lat,City,State,Country,Shape,Summary,Media,Explanation
4/22/1975,-96.693414,40.806503,Lincoln,NE,USA,Triangle,I can't believe this craft went undetected for so long!,,
4/18/2029,-71.669378,44.056525,Lincoln,NH,USA,Sphere,Blueish green sphere moving back an forth on top of Mountain.,,
12/18/2003,-96.693414,40.806503,Lincoln,NE,USA,Oval,"Bright bluish white light moving north, then east, leaving bluish trail behind, rolling over and disappeared....",,
6/5/2005,-71.4663863,41.9529237,Lincoln,RI,USA,Other,"The spheres never moved, only changed colors then faded away.",,
9/12/2007,-96.693414,40.806503,Lincoln,NE,USA,Circle,I noticed a white circle moving slowly at a constant speed in the sky. It's possible that it could have been an oval. It was fairly s,,
10/7/2008,-96.693414,40.806503,Lincoln,NE,USA,Sphere,"Two glowing orange balls of light traveling in a southern direction dropping ""flares"" and continuing south.",,
4/15/1953,-96.693414,40.806503,Lincoln,NE,USA,Triangle,First seen in broad daylight.,,
5/26/2009,-121.3423921,38.859829500000004,Lincoln,CA,USA,Other,"On the morning of Tuesday the 05/26/09, I was in my bedroom and looked out my bedroom window and saw a very shinny object, very high in",,
1/28/2022,-96.693414,40.806503,Lincoln,NE,USA,Triangle,"The craft flew over, without sound, made a turn and disappeared into the clouds.",Y,
6/4/2019,-96.693414,40.806503,Lincoln,NE,USA,Orb,Standing outside my mum's house and saw two very bright orbs dancing around the brightest light body in the S sky. ((anonymous source)),,
11/26/2008,-96.693414,40.806503,Lincoln,NE,USA,Circle,Red/orange glowing ball low on the horizen then climbed untill out of sight,,
5/17/2019,-83.412194,44.684735,Lincoln,MI,USA,Formation,3 orange lit craft in v shape that appear to what seemed out of nowhere! Michigan,,
4/30/2019,-71.3039469,42.4259283,Lincoln,MA,USA,Light,Three lights spinning in circles. kind of looked like the lights of a movie threatre.((NUFORC Note: Possibly advertising lights? PD)),,
10/30/2004,-96.693414,40.806503,Lincoln,NE,USA,Other,Two red lights. It was like they were on each end of a bar and just moving slowly from the east sky to the south sky and faded as they,,
4/30/1932,-98.1447743,39.0408395,Lincoln,KS,USA,Other,Large Bright round orange lights with Bright white connecting lights in some triangle or pyramid shape that hovered and disappeared,,
9/11/2009,-96.693414,40.806503,Lincoln,NE,USA,Circle,I left my apartment around 9:15 PM. It was dark out. I walked toward my car in the parking lot of the apartment complex. To the east,,
4/12/1971,-75.4229746,38.8698352,Lincoln,DE,USA,Formation,5 red lights hovering low two dissappeared and remaining 3 formed triangle pattern.,,
2/29/2020,-71.669378,44.056525,Lincoln,NH,USA,Light,Saw a ball of light appear out of nowhere it was floating then zoomed up and disappeared,,
4/30/1979,-96.693414,40.806503,Lincoln,NE,USA,Other,I was outside and look around. The i look up and at first i thought it was a a drone but then I realized it was clear and had redish ye,,
8/29/2006,-96.693414,40.806503,Lincoln,NE,USA,Light,"I tracked a brilliant orange pulsating light moving slowly and silently for a minute, then saw it disappear.",,
4/21/1989,-96.693414,40.806503,Lincoln,NE,USA,Light,Three red glowing lights viewed by three individuals.,,
10/31/1975,-96.693414,40.806503,Lincoln,NE,USA,Disk,My friend and I were trick or treating along our neighborhood route which took us past our school.  The school being located on the nor,,
9/19/2009,-96.693414,40.806503,Lincoln,NE,USA,Fireball,Orange fireball looking object moving very slowely in the sky.,,
8/24/2008,-96.693414,40.806503,Lincoln,NE,USA,Cigar,"The UFO had blue and yellow alternating lights, cigar shaped, and suddenly changed directions.",,
9/8/2009,-96.693414,40.806503,Lincoln,NE,USA,Light,Bright star flashing different colors in western sky. ((NUFORC Note: Probably a twinkling star. PD)),,
5/2/2020,-96.693414,40.806503,Lincoln,NE,USA,Light,Saw 10-15 bright objects flying at very high altitude in a straight line formation headed northeast.,,
3/24/1999,-96.693414,40.806503,Lincoln,NE,USA,Disk,Silver/White disk shaped object seen,,
4/6/1983,-121.3423921,38.859829500000004,Lincoln,CA,USA,Sphere,grapefruit sized blue globe!!,,
4/14/1959,-96.693414,40.806503,Lincoln,NE,USA,Other,I looked directly overhead and saw large asterix * shaped yellow large light move horizontally,,
7/6/2007,-71.4663863,41.9529237,Lincoln,RI,USA,Light,Quickly Growing White Light in Rhode Island,,
4/14/1959,-96.693414,40.806503,Lincoln,NE,USA,Circle,Small orange glowing circular objects floating during the fireworks show.,,
8/18/2004,-96.693414,40.806503,Lincoln,NE,USA,Other,triangle shape ship launches a red sphere ship that launches a white light,,
4/15/1997,-96.693414,40.806503,Lincoln,NE,USA,Sphere,On a spring night in 1997 I was sitting in a car at a park with a friend talking. I would periodically look out my window for no reaso,,
4/24/1940,-96.693414,40.806503,Lincoln,NE,USA,Light,Bright light shooting straight down toward the airport. ((NUFORC Note: Possible meteor?? PD)),,
4/30/2020,-86.1183061,33.6131588,Lincoln,AL,USA,Other,Lights moving across the night sky. ((Starlink satellites?)),,
4/14/1944,-96.693414,40.806503,Lincoln,NE,USA,Circle,"Bright light over SE Lincoln, 19Jun13 dimmed and flew away.",,
9/22/2001,-71.669378,44.056525,Lincoln,NH,USA,Light,"RED,BLUE-GREEN AND YELLOW-WHITE LIGHTS SITTING STILL IN SKY.",,
3/18/2002,-96.693414,40.806503,Lincoln,NE,USA,Light,High above an orange light (looking like a star) moving too fast makes immediate sharp turn.,,
4/7/2028,-96.693414,40.806503,Lincoln,NE,USA,Light,Sorry - false alarm; the bright orange light I saw was just a flare.,,
4/23/1941,-96.693414,40.806503,Lincoln,NE,USA,Diamond,"V-shaped lights, which turned red when I stopped to watch it, then flared brilliant white and moved toward me.",,
11/28/2002,-96.693414,40.806503,Lincoln,NE,USA,Light,"Very bright flash and explosion over Lincoln, Ne., on Thanksgiving.",,
4/15/1993,-121.3423921,38.859829500000004,Lincoln,CA,USA,Sphere,"Red, blue green lights of one unit observed in patterns back and forth and large circles.",,
4/28/1979,-96.693414,40.806503,Lincoln,NE,USA,Circle,"I saw what I initially thought was a satellite, but then it disappeared and reappeared multiple times.. It appeared for approximately 5",,
6/2/2020,-96.693414,40.806503,Lincoln,NE,USA,Light,White bright light flying past in the sky for 2 mins and disappeared suddenly.,,
2/8/2007,-71.4663863,41.9529237,Lincoln,RI,USA,Light,"2 large amber lights, 1 blinking light. Hovering & moving rapidly and erratically.",,
7/7/2023,-121.3423921,38.859829500000004,Lincoln,CA,USA,Other,6 different 4 horizontal light objects leaving silo/bldg area 3 traveled N. & turning back descending 3 going S. slowly rising.,,
1/13/2005,-96.693414,40.806503,Lincoln,NE,USA,Formation,"moving constillation, plus",,
6/1/1992,-96.693414,40.806503,Lincoln,NE,USA,Cigar,Former Airline Captain witnessed three craft flying a wedge formation as follows: Aprox. 100 ft. above ground level traveling from west,,
3/31/2006,-96.693414,40.806503,Lincoln,NE,USA,Light,"It was at night so all that was visible were two yellow to orange lights that were side by side, the distance between them is unknown.",,
6/24/2004,-96.693414,40.806503,Lincoln,NE,USA,Circle,"I watched two dim lit objects in the night sky and one object flew straifgt and the second object zig zaged and stopped in mid flight,t",,
7/10/2023,-96.693414,40.806503,Lincoln,NE,USA,Egg,Silver object flying in a westward direction off in a distace.,Y,
1/7/2020,-96.693414,40.806503,Lincoln,NE,USA,Light,20-30 Star-like lights moving in union from NWest to East,,
4/22/2019,-72.9971373,44.1058196,Lincoln,VT,USA,Oval,"3 large, fast and bright turquoise ovals circling each other, 15min, 2 witnesses. Lincoln, VT.",,
5/13/2006,-96.693414,40.806503,Lincoln,NE,USA,Light,Bright light that changed in intensity and emitted flare-like objects as it traveled towards me.,,
1/20/2019,-83.412194,44.684735,Lincoln,MI,USA,Circle,"Bright full moon making a ring light in the snow,&I saw a craft w/ blue,red&white lights hovering to the RT of the moon + 2 more Later.",,
6/7/2019,-96.693414,40.806503,Lincoln,NE,USA,Diamond,Looked like a dark bird floating still. Started moving lower. Slowed down passed over the street it seemed. ((anonymous report)),,
8/7/2019,-96.693414,40.806503,Lincoln,NE,USA,Other,Was on way to test for probation at 625 am. As I headed down my normal route on state fair drive notice what looked like a plane with n,,
